Обнаружены следующие ошибки:
Объект - Строка - 57; наименование - Чебупели Foodgital 0,25кг ТМ Горячая штучка  ПОКОМ в количестве 14 НЕ НАЙДЕН.
Перенос данных из Строка - 37; наименование - Пельмени Бульмени со сливочным маслом ТМ Горячая штучка. флоу-пак сфера 0,4 кг. ПОКОМ ==> 
	Строка - 115; наименование - =HYPERLINK("https://abi.ru/products/Замороженные/Горячая штучка/Бульмени ГШ/Пельмени/P004444/","Пельмени «Бульмени со сливочным маслом» Фикс.вес 0,4 ТМ «Горячая штучка»"), в количестве 60
Перенос данных из Строка - 38; наименование - Пельмени Бульмени со сливочным маслом ТМ Горячая штучка.флоу-пак сфера 0,7 кг. ПОКОМ ==> 
	Строка - 116; наименование - =HYPERLINK("https://abi.ru/products/Замороженные/Горячая штучка/Бульмени ГШ/Пельмени/P004346/","Пельмени «Бульмени со сливочным маслом» 0,7 Сфера ТМ «Горячая штучка»"), в количестве 228
Перенос данных из Строка - 39; наименование - Пельмени Бульмени хрустящие с мясом 0,22 кг ТМ Горячая штучка  ПОКОМ ==> 
	Строка - 120; наименование - Снеки «Бульмени хрустящие с мясом» Фикс.вес 0,22 сфера ТМ «Горячая штучка», в количестве 56
Перенос данных из Строка - 44; наименование - Пельмени Отборные из свинины и говядины 0,9 кг ТМ Стародворье ТС Медвежье ушко  ПОКОМ ==> 
	Строка - 222; наименование - =HYPERLINK("https://abi.ru/products/Замороженные/Стародворье/Медвежье ушко/Пельмени/P003004/","Пельмени Отборные из свинины и говядины Медвежье ушко 0,9 Псевдозащип Стародворье"), в количестве 36
Перенос данных из Строка - 45; наименование - Пельмени С говядиной и свининой, ВЕС, сфера пуговки Мясная Галерея  ПОКОМ ==> 
	Строка - 172; наименование - =HYPERLINK("https://abi.ru/products/Замороженные/No Name/No Name ЗПФ/Пельмени/P004472/","Пельмени «Пуговки с говядиной и свининой» Весовые Сфера ТМ «No Name» 5 кг"), в количестве 96
Перенос данных из Строка - 46; наименование - Пельмени Со свининой и говядиной ТМ Особый рецепт Любимая ложка 1,0 кг  ПОКОМ ==> 
	Строка - 258; наименование - =HYPERLINK("https://abi.ru/products/Замороженные/Особый рецепт/Любимая ложка/Пельмени/P004081/","Пельмени Со свининой и говядиной Любимая ложка 1,0 Равиоли Особый рецепт"), в количестве 24
Перенос данных из Строка - 50; наименование - Сочный мегачебурек ТМ Зареченские ВЕС ПОКОМ ==> 
	Строка - 292; наименование - =HYPERLINK("https://abi.ru/products/Замороженные/Зареченские продукты/Зареченские продукты/Чебуреки/P003495/","Чебуреки «Сочный мегачебурек» Весовой ТМ «Зареченские» 2,24 кг"), в количестве 28
Перенос данных из Строка - 53; наименование - Хотстеры с сыром 0,25кг ТМ Горячая штучка  ПОКОМ ==> 
	Строка - 131; наименование - =HYPERLINK("https://abi.ru/products/Замороженные/Горячая штучка/Хотстеры/Снеки/P004205/","Снеки «Хотстеры с сыром» ф/в 0,25 ТМ «Горячая штучка»"), в количестве 28
Перенос данных из Строка - 54; наименование - Хотстеры ТМ Горячая штучка ТС Хотстеры 0,25 кг зам  ПОКОМ ==> 
	Строка - 132; наименование - =HYPERLINK("https://abi.ru/products/Замороженные/Горячая штучка/Хотстеры/Снеки/P004489/","Снеки «Хотстеры» Фикс.вес 0,25 Пакет ТМ «Горячая штучка»"), в количестве 70
Перенос данных из Строка - 55; наименование - Хрустящие крылышки острые к пиву ТМ Горячая штучка 0,3кг зам  ПОКОМ ==> 
	Строка - 89; наименование - Крылья «Крылышки острые к пиву» Фикс.вес 0,3 Пакет ТМ «Горячая штучка», в количестве 14
Перенос данных из Строка - 56; наименование - Хрустящие крылышки ТМ Горячая штучка 0,3 кг зам  ПОКОМ ==> 
	Строка - 88; наименование - Крылья «Хрустящие крылышки» Фикс.вес 0,3 Пакет ТМ «Горячая штучка», в количестве 14
Перенос данных из Строка - 58; наименование - Чебупели Курочка гриль ТМ Горячая штучка, 0,3 кг зам  ПОКОМ ==> 
	Строка - 99; наименование - =HYPERLINK("https://abi.ru/products/Замороженные/Горячая штучка/Чебупели/Снеки/P004113/","Чебупели Курочка гриль Базовый ассортимент Фикс.вес 0,3 Пакет Горячая штучка"), в количестве 14
Перенос данных из Строка - 59; наименование - Чебупицца курочка по-итальянски Горячая штучка 0,25 кг зам  ПОКОМ ==> 
	Строка - 125; наименование - =HYPERLINK("https://abi.ru/products/Замороженные/Горячая штучка/Чебупицца/Снеки/P004484/","Снеки «Чебупицца курочка По-итальянски» Фикс.вес 0,25 Пакет ТМ «Горячая штучка»"), в количестве 126
Перенос данных из Строка - 60; наименование - Чебупицца Пепперони ТМ Горячая штучка ТС Чебупицца 0.25кг зам  ПОКОМ ==> 
	Строка - 126; наименование - =HYPERLINK("https://abi.ru/products/Замороженные/Горячая штучка/Чебупицца/Снеки/P004486/","Снеки «Чебупицца Пепперони» Фикс.вес 0,25 Пакет ТМ «Горячая штучка»"), в количестве 322
Перенос данных из Строка - 61; наименование - Чебуреки Мясные вес 2,7 кг ТМ Зареченские ВЕС ПОКОМ ==> 
	Строка - 290; наименование - Чебуреки «Мясные» Весовые ТМ «Зареченские» 2,7 кг, в количестве 14

Количество коробок с  продукцией из первого файла составляет: 2950 шт.
Количество коробок продукции из второго файла составляет: 2936 шт.
